,First Name,Last Name,Phone Number,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_FAM_MEMBERS,NAME_CONTRACT_TYPE,AMT_INCOME_TOTAL,AMT_ANNUITY,YEARS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,REGION_POPULATION_RELATIVE
0,Shard,Burn,(785)312-4567,M,Y,N,3,Cash loans,100000,10000,3,68,500,0.34
0,Yuia,Onk,(054)120-5698,F,Y,Y,1,Cash loans,60000,30000,4,350,50,0.26
0,Sam,Jones,(987)428-9631,M,N,N,6,Revolving loans,45000,10000,6,23,624,0.31
0,Obbi,Toppin,(654)983-1275,M,Y,N,5,Cash loans,150000,60000,3,10,18,0.76
0,Jason,Kidd,(369)246-8524,M,Y,Y,6,Cash loans,200000,70000,21,361,345,0.61
0,Lebron,James,(985)654-7821,M,Y,Y,10,Cash loans,900000,200000,18,325,431,0.82
0,Eric,Jackson,(214)568-9315,F,N,N,1,Revolving loans,50000,2000,1,396,123,0.32
0,Money,Kes,(369)457-1543,F,Y,Y,4,Cash loans,10000,5000,1,541,367,0.11
0,Eric,Bledose,(235)641-8564,M,Y,Y,3,Cash loans,150000,30000,15,347,612,0.56
0,Russel,Fao,(987)654-3210,M,N,N,0,Cash loans,140000,14000,1,324,1250,0.33
0, League,Legend,(123)456-7890,M,Y,Y,0,Cash loans,200000,0,5,351,258,0.55
0,Steam,Minecraft,(564)789-1234,M,Y,Y,2,Cash loans,300000,30000,11,324,125,0.54
0,Case,Project,(345)852-1590,F,Y,Y,3,Cash loans,150000,15000,2,145,852,0.31
0,Razer,Fire,(321)854-9630,M,Y,N,2,Cash loans,120000,12000,3,174,485,0.25
0,Cpp,Python,(846)985-21756,M,Y,Y,2,Revolving loans,230000,23000,14,325,245,0.41
0,Lea,Lewis,(345)856-1465,M,Y,N,0,Cash loans,210000,40000,5,645,92,0.68
